timestamp,v1,v2,v_wind,h1,h2,z0,TOA_i,ghi,temp_air,rho,pressure,dhi,dni
2005-02-07T23:00:00Z,3.57,3.91,4.09,2,10,0.00010215559450443834,1389.5,1099.5,27.485131835937523,1.1561720371246338,100401.7421875,629.2003359053726,483.20635974151406
2005-02-08T00:00:00Z,3.35,3.64,3.81,2,10,9.220161882694809e-05,1357.0,1068.5,27.486932373046898,1.1557364463806152,100385.9296875,604.299052802982,466.23441626924
2005-02-08T01:00:00Z,3.14,3.41,3.55,2,10,8.400598017033191e-05,1240.5,961.25,27.473138427734398,1.1557029485702517,100386.703125,545.8748055141795,434.4121785205386
2005-02-08T02:00:00Z,3.07,3.32,3.44,2,10,8.114495722111315e-05,1048.0,787.75,27.429406738281273,1.1558774709701538,100391.6171875,458.51617017383677,383.9087212457241
2005-02-08T03:00:00Z,3.02,3.27,3.38,2,10,7.971444574650377e-05,792.75,553.75,27.420983886718773,1.1561193466186523,100405.3828125,337.26695600869175,306.38824274006043
2005-02-08T04:00:00Z,2.93,3.16,3.27,2,10,7.637658563908191e-05,492.0,317.0,27.476647949218773,1.1563060283660889,100440.2734375,222.96485979214134,183.16084374144893
2005-02-08T05:00:00Z,2.8,3.01,3.11,2,10,7.178702799137682e-05,166.0625,80.15625,27.542779541015648,1.1565024852752686,100488.796875,0.0,275.2134074010933
2005-02-08T06:00:00Z,2.66,2.85,2.94,2,10,6.713786569889635e-05,0.01551476400345564,0.00222015380859375,27.585839843750023,1.1569406986236572,100545.3984375,0.0,0.04018815215088013
2005-02-08T07:00:00Z,2.51,2.69,2.76,2,10,6.251850572880358e-05,0.0,0.0,27.619836425781273,1.1573982238769531,100595.4140625,0.0,-0.0
2005-02-08T08:00:00Z,2.39,2.56,2.61,2,10,5.9076337493024766e-05,0.0,0.0,27.648400878906273,1.1578326225280762,100645.296875,0.0,-0.0
2005-02-08T09:00:00Z,2.32,2.48,2.52,2,10,5.706468073185533e-05,0.0,0.0,27.624383544921898,1.1583395004272459,100687.3046875,0.0,-0.0
2005-02-08T10:00:00Z,2.39,2.55,2.6,2,10,5.910613981541246e-05,0.0,0.0,27.570336914062523,1.1585237979888916,100669.75,0.0,-0.0
2005-02-08T11:00:00Z,2.55,2.74,2.79,2,10,6.412783113773912e-05,0.0,0.0,27.487908935546898,1.1585097312927246,100628.90625,0.0,-0.0
2005-02-08T12:00:00Z,2.82,3.04,3.11,2,10,7.300892320927233e-05,0.0,0.0,27.407250976562523,1.1585018634796145,100585.203125,0.0,-0.0
2005-02-08T13:00:00Z,3.1,3.35,3.46,2,10,8.335032907780258e-05,0.0,0.0,27.346032714843773,1.1586790084838867,100561.9921875,0.0,-0.0
2005-02-08T14:00:00Z,3.25,3.52,3.63,2,10,8.934059587772936e-05,0.0,0.0,27.290551757812523,1.1591382026672363,100565.8671875,0.0,-0.0
2005-02-08T15:00:00Z,3.19,3.46,3.57,2,10,8.743324724491686e-05,0.0,0.0,27.228021240234398,1.1598575115203855,100587.5390625,0.0,-0.0
2005-02-08T16:00:00Z,2.99,3.22,3.33,2,10,7.962503877934068e-05,0.0,0.0,27.185113525390648,1.1604502201080322,100627.9296875,0.0,-0.0
2005-02-08T17:00:00Z,2.6,2.79,2.87,2,10,6.660142389591783e-05,92.53125,35.59375,27.163415527343773,1.1610101461410522,100672.828125,0.0,0.0
2005-02-08T18:00:00Z,2.15,2.28,2.35,2,10,5.3443698561750346e-05,410.625,222.125,27.165429687500023,1.1615052223205566,100724.0703125,0.0,186.03002253368635
2005-02-08T19:00:00Z,1.89,1.99,2.05,2,10,4.6827582991681986e-05,719.75,480.75,27.181176757812523,1.1617003679275513,100755.5546875,0.0,634.1316050700946
2005-02-08T20:00:00Z,1.85,1.95,2.0,2,10,4.57994028693065e-05,988.5,731.25,27.242700195312523,1.1615647077560425,100755.1328125,537.3292441789139,340.4241303251272
2005-02-08T21:00:00Z,1.96,2.07,2.13,2,10,4.812398401554674e-05,1198.0,919.5,27.301477050781273,1.1612755060195925,100748.859375,581.7509867869451,448.86129692350744
